,PropertyName,LocationAdvantages,Link
53,DLF The Camellias,"{'Sector 42-43 Rapid Metro': '1.8 Km', 'Sector 53-54 Rapid Metro': '2.2 Km', 'Bank Of Baroda': '2.5 Km', 'HDFC Bank ATM': '2.5 Km', 'Muincipal Corporation of Gurugram': '2.6 Km', 'One Horizon Center Bus Stop': '2.7 Km', 'Shalom Hills International School': '3.3 Km', 'Satyam Medicare Hospital': '3.5 Km', 'Anand Preschool': '3.7 Km', 'Choice pharmacy': '3.9 Km', 'Qutub Plaza': '4.2 Km', 'Sunset point': '4.4 Km', 'EPF Regional Office': '5.7 Km', 'IFFCO Chowk': '6.6 Km', 'Kingdom of Dreams': '7.4 Km'}",https://www.99acres.com/dlf-the-camellias-sector-42-gurgaon-npxid-r129601
54,Birla Navya Avik,"{'Gaytri Public School': '1.7Km', 'KIIT College': '9.2Km', 'SPM Hospital': '2.7Km', 'WorldMark Gurgaon': '3.8Km', 'Sealdah Railway Station': '5.7Km', 'NH 248A': '11.4Km', 'International Airport': '22.6Km', 'Sector 55-56 Metro Station': '5.2Km'}",https://www.99acres.com/birla-navya-avik-sector-63a-gurgaon-npxid-r409743
55,Adani Samsara Avasa,"{'Paras Trinity Mall': '280 Meter', 'Lemon Tree Hotel': '1 Km', 'Heritage Xperiential Learning School': '1.2 Km', 'Sector 55-56 Metro Station': '3.8 Km', 'Sushant University': '5.4 Km', 'Badshahpur Sohna Rd Hwy': '6 Km', 'CK Birla Hospital, Gurgaon': '6.2 Km', 'De Adventure Park': '6.8 Km', 'Tau DeviLal Sports Complex': '9.8 Km', 'Golf Pavilion': '10 Km', 'Gurgaon Railway Station': '16.1 Km', 'Indira Gandhi Intl Airport': '21.8 Km', 'Capital Cyberscape': '1.7 Km'}",https://www.99acres.com/adani-samsara-avasa-sector-63-gurgaon-npxid-r403842
56,DLF The Crest,"{'Golf Course Road': '1.1 KM', 'Sector 53-54 Metro Station': '2.7 KM', 'Sushant University': '3.2 KM', 'DoubleTree by Hilton Hotel': '3.7 KM', 'Paras Hospitals, Gurgaon': '4.8 KM', 'Ardee Mall': '5.5 KM', 'Shiv Nadar School': '5.6 KM', 'DLF Golf and Country Club': '6 KM', 'NH 148A': '8 KM', ""Lingaya's Lalita Devi Institute"": '10.2 KM', 'ASF Insignia SEZ': '10.4 KM', 'Tau DeviLal Sports Complex': '11.2 KM', 'Gurgaon Railway Station': '15.4 KM', 'Indira Gandhi International Airport': '17.5 KM'}",https://www.99acres.com/dlf-the-crest-sector-54-gurgaon-npxid-r8664
57,DLF The Magnolias,"{'Ambience Public School': '2.9 Km Away', 'Heritage Intl Xperiential School': '2.3 Km Away', 'Summer Fields School': '4.8 Km Away', 'Primamed Super Speciality Hospital': '3.9 Km Away', 'Uma Sanjeevani Health Centre': '6.1 Km Away', 'Anya Gurgaon': '2.3 Km Away', 'Hotel Golf View Suites': '2.5 Km Away', 'Apollo Pharmacy': '4.1 Km Away', 'Rx Pharmacy': '4.3 Km Away', 'Sector 42/43 Bus Stand': '4 Km Away', 'Genpact Chowk Bus Stop': '1.4 Km Away', 'Huda City Centre Metro Station': '5.8 Km Away', 'Sector 53 Metro Station': '5.2 Km Away', 'ICICI Bank ATM': '2.4 Km Away', 'Bharat Petroleum Retail Outlet': '2.6 Km Away'}",https://www.99acres.com/dlf-the-magnolias-sector-42-gurgaon-npxid-r660
58,DLF The Aralias,"{'DLF Linear Park': '0.9 Km', 'Shiv Nadar School': '1.5 Km', 'Le Meridien Gurgaon': '4.2 Km', 'Sector 42-43 Metro Station': '4.4 Km', 'Faridabad - Gurgaon Rd': '7 Km', 'Ambience Mall': '8.6 Km', 'PVR Drive In Theatre': '9.9 Km', 'Fun N Food Village': '10.6 Km', 'F9 Go Karting Gurgaon': '11.2 Km', 'The NorthCap University': '11.4 Km', 'Indira Gandhi International Airport': '14.7 Km', 'SkyJumper Trampoline Park Gurgaon': '16.5 Km'}",https://www.99acres.com/dlf-the-aralias-sector-42-gurgaon-npxid-r12158
59,Ansal API Esencia,"{'Proposed Metro corridor': 'Close Proximity', 'N.H-8': 'Close Proximity', 'Golf Course Road': 'Close Proximity', 'Shiskshantar': 'Close Proximity', 'DPS': 'Close Proximity', 'Amity': 'Close Proximity', 'Pathways': 'Close Proximity', 'GD Goenka': 'Close Proximity', 'Medicity': 'Close Proximity', 'Artemis': 'Close Proximity', 'Max, Fortis': 'Close Proximity', 'Apollo': 'Close Proximity'}",https://www.99acres.com/ansal-api-esencia-sector-67-gurgaon-npxid-r3568
60,Pioneer Araya,"{'SCC Drive-In Cinema': '0.8 Km', 'Heritage Xperiential Learning School': '1.4 Km', 'Paras Trinity Shopping Mall': '1.8 Km', 'Swastik Multispeciality Hospital': '2 Km', 'AIPL Business Co Working Space': '2.4 Km', 'Lemon Tree Hotel Sector 60': '2.4 Km', 'Golf Course Extension Road': '2.9 Km', 'IILM University, Gurugram': '3.9 Km', 'SkyJumper Trampoline Park': '7.9 Km', 'DLF Golf and Country Club': '8.7 Km', 'Indira Gandhi International Airport': '20.6 Km'}",https://www.99acres.com/pioneer-araya-sector-62-gurgaon-npxid-r1325
61,M3M Merlin,"{'Alpine Convent School': '0.95 Km', 'MKD Hospital': '3.1 Km', 'Airia Mall': '3.7 Km', 'Golf Course Extension Road': '3.9 Km', 'Lemon Tree Hotel, Sohna Road': '4.9 Km', 'SkyJumper Trampoline Park': '5.2 Km', 'PVR Drive in Theatre': '5.4 Km', 'DPG Institute of Technology': '8.9 Km', 'DLF Golf and Country Club': '13 Km', 'Indira Gandhi International Airport': '24.8 Km'}",https://www.99acres.com/m3m-merlin-sector-67-gurgaon-npxid-r1191
62,Smart World Gems,"{'Genesis Hospital Sector 84': '2.2 Km', 'Dwarka Expressway': '2.9 Km', 'RPS International School': '3.4 Km', 'Holiday Inn Gurugram Sector 90': '4.1 Km', 'Sant Soordas Sihi Metro Station': '5.1 Km', 'Pataudi Road': '8.5 Km', 'National Tennis Academy Sector 98': '8.7 Km', 'IMT Manesar': '9.5 Km', 'NH-8': '9.5 Km', 'Gurgaon Railway Station': '12.4 Km', 'De Adventure Amusement Park': '15 Km', 'KMP Expressway': '15.4 Km', 'Vatika Business Park Sector 49': '17 Km', 'Airia Mall': '17 Km'}",https://www.99acres.com/smart-world-gems-sector-89-gurgaon-npxid-r378133
63,Vatika Aspiration,"{'Suncity School, Sector 37D': '6.6 KM', 'Dwarka Expy': '4.2 KM', 'The Signature Advanced Super Speciality': '6.4 KM', 'Gurugram University Kankrola': '8.8 km', 'The Esplanade Mall': '9.7 km', 'Holiday Inn Gurugram Sector 90': '7.6 km', 'Garhi Harsaru Junction': '2.5 km', 'Candor TechSpace, Sector 48': '13  km', 'IGI Airport': '31.6 km'}",https://www.99acres.com/vatika-aspiration-sector-88b-gurgaon-npxid-r401506
64,Ace Palm Floors,"{'IndusInd Bank ATM': '250m', ""Cherub's Cradle"": '400m', 'Mavens Orange - Hotel': '450m', 'Learning Stars School': '600m', 'State Bank of India': '800m', 'Deerika HyperMart': '1km', 'Triangular Park': '1.3km', 'Artimis hospital': '1.5km', 'Sector 45 SO Post Office': '1.5km', 'Delhi Public School': '1.6km', 'FUEL NATION': '2.1km', 'HSBC': '2.1km', 'Women Police Station': '2.3km', 'Best IVF Centre': '2.7km', 'Huda City Centre': '3.6km'}",https://www.99acres.com/ace-palm-floors-sector-89-gurgaon-npxid-r375877
65,DLF Gardencity Enclave,"{'Gurugram Public School': '21.5 km', 'Shikshantar - Primary School': '23 km', 'Park Hospital': '16.2 km', 'Mamta Hospital': '14.1 km', 'IG International Airport': '32.3 km', 'Huda Metro Station': '22.4 km', 'Omaxe City Centre': '15.9 km', 'DLF Grand Mall': '23.7 km'}",https://www.99acres.com/dlf-gardencity-enclave-sector-93-gurgaon-npxid-r392732
66,Emaar Palm Heights,"{'Arvy Hospital': '6.5 Kms', 'DPS': '4.0 Kms', ""St. Xavier's High School"": '5.7 Kms', 'Matrikiran School': '4.7 Kms', 'DLF Cyber City': '21.5 Kms', 'Vatika Town Square': '2 Kms'}",https://www.99acres.com/emaar-palm-heights-sector-77-gurgaon-npxid-r319909
67,Signature Global Park,"{'Global city centre': '850 m', 'Sohna road dhunela': '1.2 KM', 'Gd goenka university': '3.3 KM', 'Vardaan hospital and trauma centre': '5.2 KM', 'Maharana pratap school': '7.7 KM', 'Sector 55-56 metro': '19.4 KM', 'Garhi harsaru railway station Gurgaon': '29.5 KM', 'Indira Gandhi International Airport': '34.5 KM'}",https://www.99acres.com/signature-global-park-sohna-gurgaon-npxid-r330597
68,Emaar MGF Marbella,"{'NH 48': '2.3 Km', 'HUB 66': '2.7 Km', 'Park Hospital': '3.3 Km', 'Gurugram University': '4.1 Km', 'Vatika Business Centre': '4.3 Km', 'De Adventure Park': '5.4 Km', 'Sealdah': '6 Km', 'Sector 55-56 Rapid Metro Station': '6.3 Km', 'Delhi Public School': '6.6 Km', 'Tau DeviLal Sports Complex': '7.3 Km', 'Hasanpur': '7.9 Km', 'DLF Golf and Country Club': '11.8 km', 'The Oberoi': '16 Km', 'Indira Gandhi International Airport': '24.1 Km'}",https://www.99acres.com/emaar-mgf-marbella-sector-66-gurgaon-npxid-r1134
69,Rishali Luxe Residency 112,"{'Bajghera Road': '1.5 KM', 'Dwarka Expy': '5.1 KM', ""Rion's Hospital"": '2.4 KM', 'Euro Intl School, Sector- 109': '4.1 KM', 'Najafgarh Kapashera Road': '3.9 KM', 'Gurgaon Railway Station': '6.5 KM', 'The NorthCap University': '6.7 KM', 'Dwarka Sector 21 Metro station': '8.1 KM', 'Pacific D21 Mall': '8.2 KM', 'Indira Gandhi Intl Airport': '16.1 KM', 'Vivanta Dwarka New Delhi': '9.2 KM', 'Hamoni Golf Camp': '8 KM'}",https://www.99acres.com/rishali-luxe-residency-112-sector-112-gurgaon-npxid-r409012
70,Puri The Aravallis,"{'W Pratiksha Hospital': '2.6 KM', 'Sector 55-56 Metro Station': '2.7 KM', 'Hong Kong Bazaar': '3.3 KM', 'Bharti International Convent School': '3.9 KM', 'Sushant University': '4.3 KM', 'Gurugram University': '6.2 KM', 'Badshahpur Sohna Rd Hwy, Sector 68': '10.5 KM', 'Indira Gandhi Intl Airport': '20.1 KM'}",https://www.99acres.com/puri-the-aravallis-sector-61-gurgaon-npxid-r396420
71,International City by SOBHA Phase 2,"{'Euro International School': '1.1 KM', 'Dwarka Expressway': '2.7 KM', 'Gurgaon Railway Station': '4.2 KM', 'Aryan Hospital': '6.7 KM', 'The NorthCap University': '7.4 KM', 'Dwarka Sector 21 Metro Station': '10.9 KM', 'Pacific D21 Mall': '11 KM', 'Indira Gandhi Intl Airport': '18.1 KM'}",https://www.99acres.com/international-city-by-sobha-phase-2-sector-109-gurgaon-npxid-r259717
72,Emaar MGF The Palm Drive,"{'Ashoka International School': '2.3 Km', 'HUB 66': '2.6 Km', 'Park Hospital': '2.8 Km', 'Vatika Business Centre': '2.9 Km', 'NH 248A': '3.8 Km', 'Gurugram University': '4.3 Km', 'De Adventure Park': '5 Km', 'Sealdah': '6.1 Km', 'Sector 55-56 Rapid Metro Station': '6.5 Km', 'Hasanpur': '6.5 Km', 'Tau DeviLal Sports Complex': '7.2 Km', 'DLF Golf and Country Club': '11.9 Km', 'The Oberoi Gurgaon': '15 Km', 'Indira Gandhi International Airport': '22.7 Km'}",https://www.99acres.com/emaar-mgf-the-palm-drive-sector-66-gurgaon-npxid-r19
73,BPTP Green Oaks,"{'Southern Peripheral Road': '2.8 KM', 'Airia Mall': '3.9 KM', 'GD Goenka Public School': '6 KM', 'Badshahpur Sohna Rd Hwy': '6.2 KM', 'Park Hospital': '7.2 KM', 'DPG Degree College': '8.9 KM', 'Sector 55-56 Metro Station': '10.8 KM', 'Sushant University': '12.4 KM', 'Garhi Harsaru Junction': '14.4 KM', 'Indira Gandhi Intl Airport': '25.6 KM'}",https://www.99acres.com/bptp-green-oaks-sector-70a-gurgaon-npxid-r382679
74,Puri Emerald Bay,"{'Dwarka Expressway': '350 Mtr', 'Gurgaon Railway Station': '2.8 Km', 'Delhi Public School': '3.5 Km', 'Chauma Road': '3.6 Km', 'Chirag Hospital': '4.1 Km', 'Gurgaon Dreamz Mall': '5.2 Km', 'Park Inn': '7.4 Km', 'DPG Degree College': '8.8 Km', 'Infinity Business Park': '8.9 km', 'The NorthCap University': '9.3 Km', ""Oyster's Water Park"": '11.4 Km', 'Sector-21 Metro Dwarka': '13.7 Km', 'DLF Golf and Country Club': '15 Km', 'Indira Gandhi International Airport': '23.7 Km'}",https://www.99acres.com/puri-emerald-bay-sector-104-gurgaon-npxid-r5456
75,Ireo Victory Valley,"{'AIPL Joy Street Mall': '1.1 Km', 'Alpine Convent School': '1.8 Km', 'Golf Course Extension Road': '3.3 Km', 'CK Birla Hospital': '4.5 Km', 'PVR Drive in Theatre': '4.8 Km', 'Radisson Hotel Sohna Road': '5 Km', 'SkyJumper Trampoline Park': '5.6 Km', 'DPG Institute of Technology': '8.3 Km', 'iON Digital Zone (Gurugram)': '8.3 Km', 'HUDA Mini Golf Course': '9.2 Km', 'Indira Gandhi International Airport': '24 Km'}",https://www.99acres.com/ireo-victory-valley-sector-67-gurgaon-npxid-r871
76,DLF Gardencity,"{'IMT Road': '280 Meter', 'RPS International School': '4.2 KM', 'Genesis Hospital': '4.4 KM', 'Reliance Trends Newtown Square Mall': '4.4 KM', 'National Highway 48': '5.7 KM', 'SGT University': '13.2 KM', 'Indira Gandhi Intl Airport': '30.9 KM'}",https://www.99acres.com/dlf-gardencity-sector-91-gurgaon-npxid-r1193
77,Tata Primanti,"{'Sohna Gurgaon Road': '1 Km', 'Omaxe City Centre': '2.6 Km', 'Spaze Itech Park': '2.8 Km', 'Pallavan PreSchool, Sohna Road': '3.3 Km', 'Radisson Hotel Gurugram Sohna Road': '3.5 Km', 'Polaris Hospital': '3.6 Km', 'SkyJumper Trampoline Park Gurgaon': '3.9 Km', 'Sector 55-56 Metro Station': '7.7 Km', 'Faridabad Gurgaon Road': '10 Km', 'RBSM Public school': '11 Km'}",https://www.99acres.com/tata-primanti-sector-72-gurgaon-npxid-r1148
78,DLF Park Place,"{'Sector 53-54 Metro Station': '1.7 km', 'Health Care Pharmacy': '2.6 km', 'Paras Hospitals, Gurgaon': '3.3 km', 'Sector 54 Chowk': '3.9 km', 'IILM University, Gurugram': '3.9 km', 'EuroKids Preschool Suncity': '4.6 km', 'YES Bank ATM': '4.7 km', 'Sushant University': '4.8 km', 'Suncity School Gurgaon': '5.3km', 'Suncity Shopping Complex': '5.6 km', 'Apollo Pharmacy': '5.6 km', 'Vallores Pre School': '5.8km', 'W Pratiksha Hospital': '6.3 km', 'Umkal Hospital': '7.1 km', 'Haryana City Gas': '8 km'}",https://www.99acres.com/dlf-park-place-sector-54-gurgaon-npxid-r8
79,Central Park Flower Valley,"{'Marigold Secondary School': '3 mins', 'Alpine Convent School': '5 mins', 'Medanta Hospital': '6 mins', 'Alpine Hospital': '6 mins', 'Pushpanjali Hospital': '8 mins', 'Golf Course Extension Rd': '10 mins', 'Country Inn': '10 mins', 'Westin': '10 mins', 'The Millenium School': '10 mins', 'Rajiv Chowk - Sohna Highway': '15 mins', 'KMP corridor': '15 mins', 'Central Park Resorts': '20 mins', 'De Adventure Park': '25 mins', 'GD Goenka University': '30 mins', 'IGI Airport': '35 mins'}",https://www.99acres.com/central-park-flower-valley-sector-33-sohna-gurgaon-npxid-r22052
80,Ireo Skyon,"{'Swastik Hospital Sec 66': '800 Meter', 'Adarsh Senior Secondary School': '2 KM', 'Golf Course Extension': '2.3 KM', 'International Tech Park Gurgaon,': '3 KM', 'Sector 55-56 Metro': '3.4 KM', 'Surajgarh Gurgaon, Golf Course Ext Rd': '4.1 KM', 'IGI Airport': '22.5 Km'}",https://www.99acres.com/ireo-skyon-sector-60-gurgaon-npxid-r1147
81,AIPL The Peaceful Homes,"{'Ananta Hospital': '1.5 Km', 'Indus World School': '2.1 Km', 'DLF Corporate Greens': '4.8 Km', 'Airia Mall': '5.7 Km', 'SkyJumper Trampoline Park': '7.3 Km', 'Hyatt Regency Gurgaon': '7.5 Km', 'Golf Corse Ext. Rd.': '7.6 Km', 'National Highway-48': '9.6 Km', 'Gurugram University': '10.3 Km', 'IMT Manesar': '15.5 Km', 'Indira Gandhi International Airport': '29.1 Km'}",https://www.99acres.com/aipl-the-peaceful-homes-sector-70a-gurgaon-npxid-r3480
82,Adani M2K Oyster Grande,"{'Prime Scholars International School': '800 Meter', 'Dwarka Expy, Dhanwapur Village': '3 KM', 'WTC Plaza': '4.5 KM', 'Shri Balaji’s Multispeciality Hospital': '5.9 KM', 'Euro International School, Sector 37D': '6.3  KM', 'Delhi Public School, Sector 103': '2.8 KM', 'SGT University': '9 KM', 'Park Inn, Gurgaon': '10.3 KM', 'DLF World Tech Park': '13 KM', 'Star Mall': '13.7 KM', 'Indira Gandhi Intl Airport': '22.8 KM'}",https://www.99acres.com/adani-m2k-oyster-grande-sector-102-gurgaon-npxid-r4904
83,G99,"{'The Hive Shopping Mall': '1.4 Km', 'Imperial Heritage School': '2.1 Km', 'Dwarka Expressway': '5 Km', 'Yashroop Hospital': '5.3 Km', 'Ramgarh Farms & Resort': '6.1 Km', 'DPG Institute of Technology': '9.5 Km', 'SkyJumper Trampoline Park': '11.3 Km', 'NH-8, IMT Manesar': '15.4 Km', 'IMT Manesar': '15.5 Km', 'Indira Gandhi International Airport': '27.7 Km'}",https://www.99acres.com/g99-sector-99-gurgaon-npxid-r1561
84,Emaar MGF Emerald Floors Premier,"{'WorldMark Gurgaon': '400 m', 'Sohna Road': '3.2 Km', 'Lemon Tree Hotel': '3.9 Km', 'CK Birla Hospital': '5.2 Km', 'Golf Course Road': '5.6 Km', 'Delhi International Airport': '23.4 Km'}",https://www.99acres.com/emaar-mgf-emerald-floors-premier-sector-65-gurgaon-npxid-r652
85,ROF Insignia Park,"{'Yaduvanshi Shiksha Niketan': '1.4 Km', 'Aarvy Hospital': '2.5 Km', 'Royal Institute Of Science and Mgt': '3 Km', 'Dwarka Expy': '4.1 Km', 'Newtown Square Mall': '4.4 Km', 'Garhi Harsaru Junction': '3.9 Km', 'Manesar Golf Course': '7.6 Km', 'Holiday Inn Gurugram Sector 90': '2.3 Km', 'Tau DeviLal Sports Complex': '15.5 Km', 'NH 352W': '1.5 Km', 'Eros Corporate Park': '6.8 Km', 'Indira Gandhi International Airport': '31 Km', 'Nakhrola Stadium': '6 Km', ""Oyster's Water Park"": '21.1 Km'}",https://www.99acres.com/rof-insignia-park-sector-93-gurgaon-npxid-r383406
86,DLF The Ultima,"{'Miracles Apollo Cradle Hospital': '700 Meter', 'Manesar Road': '1 KM', 'Vatika Town Square-INXT': '2.7 KM', 'NH 48': '2.8 KM', 'Euro International School, Sec 84': '3.2 KM', 'Garhi Harsaru Junction': '7 KM', 'SGT University': '14.4 KM', 'Huda Metro Station (Gurugram)': '19.5 KM', 'Indira Gandhi Intl Airport': '29.4 KM'}",https://www.99acres.com/dlf-the-ultima-sector-81-gurgaon-npxid-r7182
87,Indiabulls Enigma,"{'Dwarka Expressway': '0.1 Km', 'InfinityS Badminton Academy': '1.1 Km', 'Sanskar Bharti Public School': '1.5 Km', 'Gurgaon Railway Station': '3.4 Km', 'Gurgaon Dreamz Mall': '4.7 Km', 'Manipal Hospital, Gurugram': '5.7 Km', 'The NorthCap University': '6.3 Km', 'HUDA Market, Sector 14': '8 Km', 'Delhi Gurgaon Expressway': '8.4 Km', 'F9 Go Karting Gurgaon': '9.2 Km', 'SCC Rooftop Drive-In': '10.2 Km', 'Dwarka Sector 21 Metro Station': '10.4 Km', 'The Oberoi, Gurgaon': '11.3 Km', 'Fun N Food Village': '12.9 Km', 'Indira Gandhi International Airport': '18.9 Km'}",https://www.99acres.com/indiabulls-enigma-sector-110-gurgaon-npxid-r31904
88,Experion The Westerlies,"{'Euro Intl School, Sector- 109': '2.4 KM', 'Aryan Hospital': '6.6 KM', 'WTC Plaza': '1.5 KM', 'The NorthCap University': '9.1 KM', 'The Shikshiyan School': '1.1 KM', 'Indira Gandhi Intl Airport': '19.6 KM', 'Tau DeviLal Sports Complex': '10.2 KM', 'DLF Corporate Park': '15.8 KM', 'Hamoni Golf Camp': '10.4 KM'}",https://www.99acres.com/experion-the-westerlies-sector-108-gurgaon-npxid-r18410
89,Hero Homes,"{'Gurugram Railway Station': '1.1 Km', 'Dwarka Expressway': '1.6 Km', 'Kings International School': '2.6 Km', 'HUDA Market': '3 Km', 'Basai Metro Station': '3.9 Km', 'Aryan Hospital': '4.7 Km', 'IGI Airport': '21.3 Km'}",https://www.99acres.com/hero-homes-sector-104-gurgaon-npxid-r318679
90,Central Park Flower Valley Mikasa Plots,"{'Lemon Tree Hotel': '1.3Km', 'IGI Airport': '20.5Km', 'Gurugram Public School': '4.1Km', 'CBR Cricket Ground': '3.5Km', 'Swastik Multispeciality Hospital': '2.3Km', 'SCC Drive-In Cinema': '2.8Km', 'Rapid Metro Sector 55-56': '3.1Km'}",https://www.99acres.com/central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-npxid-r308685
91,M3M Skywalk,"{'Omaxe Gurgaon Mall': '5.6 KM', 'Kunskapsskolan School': '5.7 KM', 'Omaxe Celebration Mall': '6.8 KM', 'Gurgaon - Delhi Expy, Sector 75A': '7.9 KM', 'Park Hospital': '9 KM', 'Gurugram University': '10.6 KM', 'Indira Gandhi Intl Airport': '25.3 KM'}",https://www.99acres.com/m3m-skywalk-sector-74-gurgaon-npxid-r368291
92,Ireo The Grand Arch,"{'International Tech Park Gurgaon': '1.5 Km', 'Grand Hyatt Gurgaon': '1.4 Km', 'W Pratiksha Hospital': '3.7 Km', 'Shalom Presidency School': '3.7 Km', 'Sector 55-56 Rapid Metro': '3.7 Km', 'Paras Trinity Mall': '3.5 Km', 'Sushant University': '5.3 Km', 'Rajesh Pilot Road': '2.9 Km', 'Jinga Lala Theme Park Gurgaon Delhi': '2.7 Km', 'Indira Gandhi International Airport': '21.1 Km', 'TERI Golf Course': '5.1 Km', 'Tau DeviLal Sports Complex': '11.7 Km'}",https://www.99acres.com/ireo-the-grand-arch-sector-58-gurgaon-npxid-r659
93,JMS The Nation,"{'Pataudi Rd, Sector 95B': '1.1 KM', 'RELIANCE TRENDS Newtown Square Mall': '2.8 KM', 'RPS International School': '3.9 KM', 'Aarvy Healthcare Super Speciality': '4.1 KM', 'SGT University': '12.8 KM', 'Indira Gandhi Intl Airport': '33.4 KM'}",https://www.99acres.com/jms-the-nation-sector-95-gurgaon-npxid-r389082
94,Imperia The Esfera,"{'Approved Sector 37 Mero Station': '500 m', 'Signature Hospital': '500 m', 'Suncity School': '500 m', 'Xavier’s International': '500 m', 'Alpine School': '2 Km', 'Esplanade Mall': '400 m', 'Sector 10 Market': '3.1 Km', 'Dwarka Expressway': '4.5 Km'}",https://www.99acres.com/imperia-the-esfera-sector-37c-gurgaon-npxid-r1580
95,Ramprastha Primera,"{'Dwarka Expressway': '1.9 Km', 'JMS Marine Square Mall': '4.3 Km', 'Blue Bells Public School': '4.5 Km', 'Delhi Jaipur Expressway': '5 Km', 'infinity Business Park': '9.9 Km', 'SGT University': '10 Km', 'Medanta The Medicity': '10.2 Km', 'Holiday Inn Gurugram Sector 90': '10.5 Km', 'HUDA Market': '13.6 Km', 'Indira Gandhi International Airport': '24.5 Km'}",https://www.99acres.com/ramprastha-primera-sector-37d-gurgaon-npxid-r4640
96,Experion The Heartsong,"{'Galleria 108 Mall': '0.65 Km', 'The Shikshiyan School': '0.75 Km', 'Dwarka Expressway': '3 Km', 'Manipal Hospital': '8.5 Km', 'SkyJumper Trampoline Park': '12.1 Km', 'Vivanta New Delhi, Dwarka': '13.3 Km', 'Fun N Food Village': '14.1 Km', 'Central Peripheral Road': '14.8 Km', 'Indira Gandhi International Airport': '20.5 Km'}",https://www.99acres.com/experion-the-heartsong-sector-108-gurgaon-npxid-r6502
97,DLF New Town Heights 2,"{'Bharat Ram Global School': 'Within 290m', 'Canara Bank ATM': 'Within 900m', 'Yes Bank': 'Within 1.2km', 'Arc Hospital': 'Within 1.3km', 'Canara Bank': 'Within 1.4km', 'Axis Bank ATM': 'Within 1.4km', 'City Square': 'Within 1.6km', 'Shishu Kalyan School': 'Within 2.1km', 'Vatika Town Square': 'Within 5.3km', 'Rathore IMT Hospital': 'Within 5.9km', 'DSD College': 'Within 6.1km', 'Patil Station': 'Within 10.7km', 'Amity University': 'Within 17.9km', 'ICFAI University': 'Within 18.2km', 'Indira Gandhi Airport': 'Within 33.4km'}",https://www.99acres.com/dlf-new-town-heights-2-sector-86-gurgaon-npxid-r23690
98,DLF The Primus,"{'Sapphire 83': '1Km', 'Cambridge Montessori': '1.4Km', 'Hyatt Regency': '1.9Km', 'NH 48': '2Km', 'Miracles Apollo Hospital': '3.3Km', 'Garhi Harsaru Junction': '9.6Km', 'IGI Airport': '26.9Km'}",https://www.99acres.com/dlf-the-primus-sector-82a-gurgaon-npxid-r4470
99,DLF The Skycourt,"{'Holiday Inn Hotel Sector 90': '1.7 Km', 'Rao Bharat Singh International School': '2.3 Km', 'Aarvy Healthcare': '3.2 Km', 'NH-8, Imt Manesar': '8.7 Km', 'Imt Manesar': '5.9 Km', 'Sapphire 83 Mall': '6.1 Km', 'National Tennis Academy Sector 98': '7.2 Km', 'DPG Institute of Technology': '13.3 Km', 'Indira Gandhi International Airport': '31.6 Km', 'Aapno Ghar': '9.4 Km'}",https://www.99acres.com/dlf-the-skycourt-sector-86-gurgaon-npxid-r6136
100,Central Park Resorts,"{'Park Hospital': '4.3km', 'Omaxe Celebration Mall': '4.4km', 'GD Goenka Public School': '4.6km', 'Cambridge College Of Education': '4.7km', 'Gurugram University': '6.5km', 'Huda Metro Station': '7.4km', 'Basai Dhankot': '9.2km', 'Iffco Chowk': '10.9km', 'Indira Gandhi Int. Airport': '22.5km'}",https://www.99acres.com/central-park-resorts-sector-48-gurgaon-npxid-r6802
101,Suncity Avenue 76,"{'Hyatt Regency Gurgaon': '4.5 KM', 'Euro International School, Sector 84': '6.4 KM', 'Omaxe Gurgaon Mall': '6.5 KM', 'Park Hospital': '7.8 KM', 'Gurugram University': '10.3 KM', 'Indira Gandhi Intl Airport': '26.5 KM'}",https://www.99acres.com/suncity-avenue-76-sector-76-gurgaon-npxid-r343747
102,International City by Sobha Phase 1,"{'The Shikshiyan School': '2.9 Km', 'Dharampeth Main Road': '3.3 Km', 'Dwarka Expressway': '3.7 Km', 'Luxus Haritma Resort': '4.2 Km', 'BSF Golf Course': '4.7 Km', ""Rion's Hospital"": '5.7 Km', 'Gurgaon railway station': '6.2 Km', 'The NorthCap University': '8.1 Km', 'Dwarka sector 21 metro station': '9.9 Km', 'Pacific D21 Mall': '10 Km', ""Oyster's Water Park"": '15.1 Km', 'The Executive Centre': '16.9 Km', 'Indira Gandhi International Airport': '17.7 Km'}",https://www.99acres.com/international-city-by-sobha-phase-1-sector-109-gurgaon-npxid-r1204
103,Ambience Creacions,"{'Old Delhi Gurgaon Road': '61 Meter', 'Hyatt Place Gurgaon Udyog Vihar': '650 Meter', 'Rotary Public School': '850 Meter', 'Candor Techspace': '1.3 KM', 'The NorthCap University': '2.6 KM', 'Hamoni Golf Camp': '2.7 KM', 'Fun N Food WaterPark': '3.2 KM', 'Manipal Hospital, Palam Vihar': '3.4 KM', 'Gurgaon - Delhi Expy': '4.8 KM', 'Ambience Mall': '5.3 KM', 'Moulsari Avenue': '6.2 KM', 'Gurgaon Railway Station': '8.3 KM', 'Tau DeviLal Sports Complex': '8.8 KM', 'Indira Gandhi International Airport': '11 KM'}",https://www.99acres.com/ambience-creacions-sector-22-gurgaon-npxid-r39908
